"ID incidence with coutry, demand, grp, same year"				frequency	Free status at the year	Govt. response	Violent govt res?	# of part.	Protestor Violence
Brazil	labor wage dispute	anti olympic protesters	2016	1					
Brazil	labor wage dispute	anti-austerity demonstrators	2016	1					
Brazil	labor wage dispute	Brazilians 	1999	1					
Brazil	labor wage dispute	civil police officers	2008	1					
Brazil	labor wage dispute	dockworkers	1997	1					
Brazil	labor wage dispute	federal police	2007	3					
Brazil	labor wage dispute	oil workers	1991	17					
Brazil	labor wage dispute	oil workers	2001	5					
Brazil	labor wage dispute	police	1997	9					
Brazil	labor wage dispute	police	2001	1					
Brazil	labor wage dispute	police & firefighters	2016	1					
Brazil	labor wage dispute	police officers	2012	10					
Brazil	labor wage dispute	police officers 	2007	1					
Brazil	labor wage dispute	police; firefighters; teachers	2016	1					
Brazil	labor wage dispute	port workers 	1990	8					
Brazil	labor wage dispute	port workers 	1991	2					
Brazil	labor wage dispute	protesters	2016	1					
Brazil	labor wage dispute	teachers	2013	1					
Brazil	labor wage dispute	teachers	2014	1					
Brazil	labor wage dispute	teachers and students	2016	60					
Brazil	labor wage dispute	"teachers, teachers union"	2015	13					
Brazil	labor wage dispute	truckers	2001	2					
Brazil	labor wage dispute	"workers (dock, transportation, industrial)"	1996	1					
Brazil	land farm issue	members of indigenous communities	2011	1					
Brazil	land farm issue	Occupy Estelita movement	2015	1					
Brazil	police brutality	Brazilians 	1999	1					
Brazil	police brutality	favelas residents	2015	1					
Brazil	police brutality	"Furious, women, children and seniors living in the slum"	2000	1					
Brazil	police brutality	protesters	2014	1					
Brazil	police brutality	slum dwellers	2013	32					
Brazil	"political behavior, process"	"activists from the Dam Victims Movement (MAB), indigenous groups, riverside populations from Altamira (Parmaj, Bang"	2010	1					
Brazil	"political behavior, process"	"Brazilian and Paraguayan demonstrators - car rental workers, street vendors from Ciudad del Este and small Brazilian traders in the tourism sector"	1995	1					
Brazil	"political behavior, process"	Brazilians 	1991	1					
Brazil	"political behavior, process"	Brazilians 	1993	1					
Brazil	"political behavior, process"	Brazilians 	1995	1					
Brazil	"political behavior, process"	Brazilians 	1997	2					
Brazil	"political behavior, process"	Brazilians 	1998	4					
Brazil	"political behavior, process"	Brazilians 	2003	1					
Brazil	"political behavior, process"	Brazilians 	2008	1					
Brazil	"political behavior, process"	Brazilians 	2009	7					
Brazil	"political behavior, process"	Brazilians 	2010	1					
Brazil	"political behavior, process"	Brazilians (mostly female)	2006	1					
Brazil	"political behavior, process"	Cainguanges Indians	1999	1					
Brazil	"political behavior, process"	children and adults	1990	1					
Brazil	"political behavior, process"	demonstrators	2015	1					
Brazil	"political behavior, process"	dockworkers	1993	8					
Brazil	"political behavior, process"	dockworkers	1997	6					
Brazil	"political behavior, process"	dockworkers	1998	2					
Brazil	"political behavior, process"	"eight main labor union federations, Landless Rural Workers' Movement"	2013	1					
Brazil	"political behavior, process"	farmers	1994	1					
Brazil	"political behavior, process"	farmers	1999	1					
Brazil	"political behavior, process"	farmers and indigenous Macuxi indians	2004	1					
Brazil	"political behavior, process"	"Federal public servants and state-run company employees, Oil and electric power sector workers, university professors and employees, and health and telecommunications sector workers"	1995	1					
Brazil	"political behavior, process"	fishermen	2007	1					
Brazil	"political behavior, process"	government workers	2003	1					
Brazil	"political behavior, process"	homeless people	1999	1					
Brazil	"political behavior, process"	homeless people	2014	1					
Brazil	"political behavior, process"	Indians	1993	1					
Brazil	"political behavior, process"	Indians	1998	1					
Brazil	"political behavior, process"	Indians	2000	1					
Brazil	"political behavior, process"	Indians	2010	3					
Brazil	"political behavior, process"	indigenous people	2009	3					
Brazil	"political behavior, process"	inmates	2001	3					
Brazil	"political behavior, process"	inmates	2004	6					
Brazil	"political behavior, process"	inmates	2005	4					
Brazil	"political behavior, process"	journalists	2002	1					
Brazil	"political behavior, process"	landless Brazilian peasants	2005	2					
Brazil	"political behavior, process"	landless farmers	1999	1					
Brazil	"political behavior, process"	Landless farmers	2002	1					
Brazil	"political behavior, process"	landless laborers	1995	1					
Brazil	"political behavior, process"	"landless peasants clamoring for agrarian reform, blacks fighting against their marginalization, students and leftist sympathizers"	2000	1					
Brazil	"political behavior, process"	landless workers	1996	2					
Brazil	"political behavior, process"	landless workers or peasants 	1998	1					
Brazil	"political behavior, process"	members of Landless Farmers Movement	2001	3					
Brazil	"political behavior, process"	members of Landless Farmers Movement	2003	3					
Brazil	"political behavior, process"	members of Landless Farmers Movement	2006	1					
Brazil	"political behavior, process"	members of Landless Farmers Movement	2007	1					
Brazil	"political behavior, process"	members of landless farmers' movement 	2002	1					
Brazil	"political behavior, process"	members of Landless Peasants' Movement	2007	1					
Brazil	"political behavior, process"	members of Landless Peasants' Movement	2008	1					
Brazil	"political behavior, process"	members of Landless Rural Workers Movement 	2000	14					
Brazil	"political behavior, process"	members of peace group	2007	1					
Brazil	"political behavior, process"	members of the Landless People's Movement	2000	4					
Brazil	"political behavior, process"	members of the Landless Workers' Movement and La Via Campesina	2010	1					
Brazil	"political behavior, process"	members of the Movement of the Landless	1997	59					
Brazil	"political behavior, process"	"members of the Movement of the Landless, students, throngs of workers"	1997	1					
Brazil	"political behavior, process"	members of the National Movement of Landless Rural Workers	1998	3					
Brazil	"political behavior, process"	"members of Via Campesina, a branch of the Landless Workers Movement "	2008	1					
Brazil	"political behavior, process"	metal workers	1994	1					
Brazil	"political behavior, process"	national oil workers' federation	2013	3					
Brazil	"political behavior, process"	oil workers	1995	33					
Brazil	"political behavior, process"	oil workers (Petroleum - state owned company)	1990	3					
Brazil	"political behavior, process"	Pataxo Indians	2001	1					
Brazil	"political behavior, process"	peasants	1997	1					
Brazil	"political behavior, process"	poor farmers	1998	2					
Brazil	"political behavior, process"	Popular Movements' Central	2016	3					
Brazil	"political behavior, process"	prison guards 	2006	1					
Brazil	"political behavior, process"	prisoners	2014	4					
Brazil	"political behavior, process"	prisoners from the Red Commando gang	2003	1					
Brazil	"political behavior, process"	pro-government supporters	2016	5					
Brazil	"political behavior, process"	protesters	2014	1					
Brazil	"political behavior, process"	protesters	2016	1					
Brazil	"political behavior, process"	public transportation workers	2007	1					
Brazil	"political behavior, process"	public workers	2003	6					
Brazil	"political behavior, process"	raggedy street kids	1991	1					
Brazil	"political behavior, process"	rural workers	2009	1					
Brazil	"political behavior, process"	sao paulo workers	1990	1					
Brazil	"political behavior, process"	steel workers	1990	1					
Brazil	"political behavior, process"	students	1998	1					
Brazil	"political behavior, process"	students	2008	15					
Brazil	"political behavior, process"	students	2015	31					
Brazil	"political behavior, process"	subway workers	2006	1					
Brazil	"political behavior, process"	"subway workers, bus drivers, teachers, public health workers, and bank clerks"	1991	2					
Brazil	"political behavior, process"	"teachers, students and parents"	1999	1					
Brazil	"political behavior, process"	traders	1999	1					
Brazil	"political behavior, process"	truckers	1999	8					
Brazil	"political behavior, process"	union and opposition party protestors	1995	1					
Brazil	"political behavior, process"	union leaders and students	1996	1					
Brazil	"political behavior, process"	"unionists, students and businessmen"	2005	1					
Brazil	"political behavior, process"	Unions and social groups	2007	1					
Brazil	"political behavior, process"	women; feminists	2016	3					
Brazil	"political behavior, process"	workers	1999	1					
Brazil	"political behavior, process"	workers	2000	1					
Brazil	"political behavior, process"	workers of Banco del Estado de Sao Paulo (Banespa)	2000	1					
Brazil	"political behavior, process"	"workers, students and university professors"	2002	1					
Brazil	"price increases, tax policy"	"Free Pass Movement, clowns, anarchists, youth, protesters"	2015	1					
Brazil	"price increases, tax policy"	Movimento Passe Livre	2016	1					
Brazil	"price increases, tax policy"	protesters	2014	3					
Brazil	"price increases, tax policy"	protesters     	2016	1					
Brazil	"price increases, tax policy"	"university students, leftist activists, Free Fare Movement"	2013	5					
Brazil	removal of politician	anti-government	2016	14					
Brazil	removal of politician	Artists; musicians; actors	2016	9					
Brazil	removal of politician	Brazilians 	1992	4					
Brazil	removal of politician	protesters	2015	5					
Brazil	removal of politician	women	2016	13					
Bulgaria	labor wage dispute	army officers	1997	1					
Bulgaria	labor wage dispute	Bulgarian Post employees	2013	1					
Bulgaria	labor wage dispute	Confederation of Independent Trade Unions in Bulgaria (CITUB)	2014	1					
Bulgaria	labor wage dispute	farmers	2008	1					
Bulgaria	labor wage dispute	"farmers, dairy producers"	2008	29					
Bulgaria	labor wage dispute	miners	2012	8					
Bulgaria	labor wage dispute	miners; Miners' Union	2005	8					
Bulgaria	labor wage dispute	pensioners	1992	1					
Bulgaria	labor wage dispute	police officers	2009	1					
Bulgaria	labor wage dispute	"protesters, leftists"	1999	1					
Bulgaria	labor wage dispute	"steel workers, labor unions"	2008	2					
Bulgaria	labor wage dispute	teachers	2005	5					
Bulgaria	labor wage dispute	teachers	2007	5					
Bulgaria	labor wage dispute	"teachers, National Teachers Union"	2005	1					
Bulgaria	labor wage dispute	"trade unions, students"	2000	1					
Bulgaria	land farm issue	anti-Communist supporters	1995	1					
Bulgaria	land farm issue	"anti-Communist supporters, Union of Democratic Forces (UDF) supporters, Agrarian Party supporters"	1995	1					
Bulgaria	land farm issue	protesters	1995	2					
Bulgaria	land farm issue	protesters	2005	8					
Bulgaria	land farm issue	residents	2005	7					
Bulgaria	land farm issue	students and teachers from Bulgaria's National Sports Academy (NSA)	2012	1					
Bulgaria	land farm issue	students from Bulgaria's National Sports Academy (NSA)	2012	1					
Bulgaria	police brutality	"CSKA fans, soccer hooligans"	2011	1					
Bulgaria	police brutality	"dissident priests, supporters"	2004	1					
Bulgaria	police brutality	Vietnamese workers	1991	1					
Bulgaria	"political behavior, process"	anti-Communists	1990	3					
Bulgaria	"political behavior, process"	anti-Communists	1991	2					
Bulgaria	"political behavior, process"	"anti-Communists, opposition supporter"	1996	1					
Bulgaria	"political behavior, process"	"anti-government protesters, opposition supporters"	1997	6					
Bulgaria	"political behavior, process"	"anti-government protesters, opposition supporters, Union of Democratic Forces (UDF)"	1997	11					
Bulgaria	"political behavior, process"	Bulgarians	1990	2					
Bulgaria	"political behavior, process"	Bulgarians	1996	1					
Bulgaria	"political behavior, process"	"Bulgarians, protesters, farmers, students, environmentalist activists"	2009	2					
Bulgaria	"political behavior, process"	"Bulgarians, students"	1990	1					
Bulgaria	"political behavior, process"	"Bulgarians, students"	2013	1					
Bulgaria	"political behavior, process"	demonstrators	1990	3					
Bulgaria	"political behavior, process"	demonstrators	1991	1					
Bulgaria	"political behavior, process"	"demonstrators, opposition supporters, youth"	1991	1					
Bulgaria	"political behavior, process"	journalists	1995	1					
Bulgaria	"political behavior, process"	"members of Parliament (UDF, smaller opposition groups, Bulgarian Business Block)"	1995	1					
Bulgaria	"political behavior, process"	migrants	2016	1					
Bulgaria	"political behavior, process"	Nationalists	1990	1					
Bulgaria	"political behavior, process"	opposition supporters	1991	1					
Bulgaria	"political behavior, process"	"opposition supporters, anti-government protesters"	1997	7					
Bulgaria	"political behavior, process"	"opposition supporters, anti-government protesters, students"	1997	1					
Bulgaria	"political behavior, process"	"opposition supporters, students, anti-government protesters"	1997	1					
Bulgaria	"political behavior, process"	pro-Communists	1992	1					
Bulgaria	"political behavior, process"	protesters	1990	1					
Bulgaria	"political behavior, process"	protesters	2003	1					
Bulgaria	"political behavior, process"	protesters	2012	1					
Bulgaria	"political behavior, process"	protesters	2014	1					
Bulgaria	"political behavior, process"	slavic Bulgarians	1990	7					
Bulgaria	"political behavior, process"	"Slavic Bulgarians, nationalists"	1990	6					
Bulgaria	"political behavior, process"	students supporters of Union of Democratic Forces	1990	1					
Bulgaria	"political behavior, process"	"students, opposition supporters, anti-government protesters"	1997	2					
Bulgaria	"political behavior, process"	"students, teachers, doctors and public servants"	2009	1					
Bulgaria	"political behavior, process"	"students, Union of Democratic Forces (UDF), opposition supporters, anti-government protesters"	1997	2					
Bulgaria	"political behavior, process"	"supporters of Union of Democratic Front, anarchist group"	1990	1					
Bulgaria	"political behavior, process"	"Union of Democratic Forces, anti-Communist demonstrators"	1990	1					
Bulgaria	"political behavior, process"	"Union of Democratic Forces, opposition supporters"	1990	1					
Bulgaria	"political behavior, process"	university students	2013	24					
Bulgaria	"political behavior, process"	workers	2004	1					
Bulgaria	"price increases, tax policy"	Bulgarians	2013	15					
Bulgaria	"price increases, tax policy"	motorists	2011	1					
Bulgaria	removal of politician	anti-Communists	1997	1					
Bulgaria	removal of politician	"anti-Communists, Bulgarians"	1990	1					
Bulgaria	removal of politician	anti-government protesters	1990	5					
Bulgaria	removal of politician	"anti-government protesters, miners, students"	1990	1					
Bulgaria	removal of politician	Bulgarians	1990	2					
Bulgaria	removal of politician	Bulgarians	2008	1					
Bulgaria	removal of politician	Bulgarians	2013	188					
Bulgaria	removal of politician	"Bulgarians, women"	1990	1					
Bulgaria	removal of politician	opposition (Union of Democratic Forces) supporters	1993	17					
Bulgaria	removal of politician	opposition supporters	1990	1					
Bulgaria	removal of politician	protesters	2001	1					
Bulgaria	removal of politician	"students, strikers"	1990	1					
Bulgaria	removal of politician	"students, teachers, university lecturers, intellectuals, artists, taxi drivers"	1990	20					
Bulgaria	removal of politician	"students, workers"	1990	1					
Bulgaria	social restrictions	gay activists	2008	1					
Bulgaria	social restrictions	gay pride activists	2011	1					
Bulgaria	social restrictions	gay rights activists	2012	1					
Bulgaria	social restrictions	Muslim Bulgarians	1990	1					
Burkina Faso	labor wage dispute	presidential guard	2011	2					
Burkina Faso	labor wage dispute	soldiers	2006	1					
Burkina Faso	labor wage dispute	soldiers	2007	1					
Burkina Faso	labor wage dispute	soldiers	2011	3					
Burkina Faso	labor wage dispute	soldiers and police	2011	5					
Burkina Faso	labor wage dispute	striking workers	2002	1					
Burkina Faso	police brutality	demonstrators	2011	1					
Burkina Faso	police brutality	students	2011	2					
Burkina Faso	"political behavior, process"	anti-coup protesters	2015	5					
Burkina Faso	"political behavior, process"	confederation of democratic forces	1991	1					
Burkina Faso	"political behavior, process"	demonstrators	1998	1					
Burkina Faso	"political behavior, process"	demonstrators	1999	2					
Burkina Faso	"political behavior, process"	demonstrators	2007	1					
Burkina Faso	"political behavior, process"	demonstrators	2013	1					
Burkina Faso	"political behavior, process"	high school pupils	2000	3					
Burkina Faso	"political behavior, process"	National Coalition against the High Cost of Living (CCVC)	2011	1					
Burkina Faso	"political behavior, process"	opposition protesters 	1991	1					
Burkina Faso	"political behavior, process"	police	2011	3					
Burkina Faso	"political behavior, process"	protesters	2013	1					
Burkina Faso	"political behavior, process"	protesters	2014	3					
Burkina Faso	"political behavior, process"	soldiers	2011	1					
Burkina Faso	"political behavior, process"	Stallkeepers 	2004	1					
Burkina Faso	"political behavior, process"	students	1997	1					
Burkina Faso	"political behavior, process"	students	1999	4					
Burkina Faso	"political behavior, process"	students	2000	1					
Burkina Faso	"political behavior, process"	students	2011	6					
Burkina Faso	"political behavior, process"	students and shopkeepers	2011	1					
Burkina Faso	"political behavior, process"	teachers and students	2000	1					
Burkina Faso	"political behavior, process"	traders	2011	1					
Burkina Faso	"political behavior, process"	university students	1997	1					
Burkina Faso	"political behavior, process"	university students	1998	1					
Burkina Faso	"political behavior, process"	women 	2006	1					
Burkina Faso	"price increases, tax policy"	central trade unions	2010	1					
Burkina Faso	"price increases, tax policy"	cotton farmers 	2011	1					
Burkina Faso	"price increases, tax policy"	demonstrators	2008	4					
Burkina Faso	"price increases, tax policy"	National Coalition against the High Cost of Living (CCVC)	2011	1					
Burkina Faso	"price increases, tax policy"	protesters	2008	1					
Burkina Faso	"price increases, tax policy"	protesters 	2008	1					
Burkina Faso	"price increases, tax policy"	students	2002	1					
Burkina Faso	"price increases, tax policy"	trade unions	2012	1					
Burkina Faso	"price increases, tax policy"	union workers	2002	3					
Burkina Faso	"price increases, tax policy"	women	2011	1					
Burkina Faso	"price increases, tax policy"	workers	2006	2					
Burkina Faso	"price increases, tax policy"	workers	2013	1					
Burkina Faso	removal of politician	opposition parties	2011	1					
Burkina Faso	removal of politician	vendors	2011	1					
Burundi	labor wage dispute	Demobilized Fighters	2007	1					
Burundi	labor wage dispute	Students	2008	1					
Burundi	land farm issue	Peasants	2004	10					
Burundi	land farm issue	protesters	2013	1					
Burundi	police brutality	Journalists	2011	1					
Burundi	police brutality	Lawyers	2011	1					
Burundi	police brutality	protesters	2007	1					
Burundi	police brutality	protesters	2008	2					
Burundi	"political behavior, process"	Demobilized Fighters	2010	1					
Burundi	"political behavior, process"	detainees	2004	13					
Burundi	"political behavior, process"	Former Child Soldiers	2009	1					
Burundi	"political behavior, process"	Inmates	2011	1					
Burundi	"political behavior, process"	Inmates	2013	1					
Burundi	"political behavior, process"	National Liberation Forces	2010	1					
Burundi	"political behavior, process"	NGO's	2011	1					
Burundi	"political behavior, process"	opponents of assassinated Burundi president Melchior Ndaday	1994	1					
Burundi	"political behavior, process"	Party For National Recovery	2001	1					
Burundi	"political behavior, process"	people	1993	1					
Burundi	"political behavior, process"	People	1993	2					
Burundi	"political behavior, process"	Power of Self-Defence-Amasekanya	2002	1					
Burundi	"political behavior, process"	prisioners	2008	2					
Burundi	"political behavior, process"	protesters	2000	1					
Burundi	"political behavior, process"	protesters	2012	1					
Burundi	"political behavior, process"	protesters	2015	31					
Burundi	"political behavior, process"	"protesters, university students"	2015	1					
Burundi	"political behavior, process"	"protesters, university students, FOCODE (student group)"	2015	7					
Burundi	"political behavior, process"	"protesters, women"	2015	1					
Burundi	"political behavior, process"	Students	1994	1					
Burundi	"political behavior, process"	Students	2002	4					
Burundi	"political behavior, process"	Students	2007	1					
Burundi	"political behavior, process"	students	2016	1					
Burundi	"political behavior, process"	"students, pupils and jobless people"	1996	1					
Burundi	"political behavior, process"	supporters of former president Jean-Baptiste Bagaza and people	1996	1					
Burundi	"political behavior, process"	Supporters of the government	2009	1					
Burundi	"political behavior, process"	Supporters of the opposition parties	1993	1					
Burundi	"political behavior, process"	Supporters of Tutsi-dominated main opposition party	1994	1					
Burundi	"political behavior, process"	Taxi Drivers	2002	2					
Burundi	"political behavior, process"	Taxi Drivers	2003	1					
Burundi	"political behavior, process"	Tutsi people	1996	1					
Burundi	"political behavior, process"	Tutsi political parties	1996	1					
Burundi	"political behavior, process"	Tutsi Students	1995	1					
Burundi	"political behavior, process"	Tutsi Students	1996	1					
Burundi	"political behavior, process"	Tutsi university and secondary school students 	1995	1					
Burundi	"political behavior, process"	Tutsis	2000	1					
Burundi	"political behavior, process"	Union for National Progress	2014	1					
Burundi	"political behavior, process"	Unions	1996	1					
Burundi	"political behavior, process"	youths	1993	1					
Burundi	"political behavior, process"	Youths	1994	2					
Burundi	"political behavior, process"	Youths (mainly Tutsi university students)	1994	1					
Burundi	removal of politician	Confederation of Burundi Trade Unions 	2000	1					
Burundi	removal of politician	Opposition supporters	1995	1					
Burundi	removal of politician	protesters	2015	2					
Burundi	removal of politician	Tutsi youths	1996	1					
Burundi	removal of politician	Youth Solidarity for the Defence of Minorities (SOJEDEM)	1996	1					
Burundi	social restrictions	People & Tutsi ethnic group	1993	1					
Burundi	social restrictions	the Movement for Solidarity and Democracy activists	2014	1					
Burundi	social restrictions	Tutsi college and school students 	1993	1					
Burundi	social restrictions	university students	1993	1					
Cambodia	labor wage dispute	 Cambodian workers from different factories and Opposition parties	2013	2					
Cambodia	labor wage dispute	college graduates	1999	1					
Cambodia	labor wage dispute	employees from a factory supplying global brands	2013	1					
Cambodia	labor wage dispute	garment workers	1996	1					
Cambodia	labor wage dispute	garment workers	1997	1					
Cambodia	labor wage dispute	garment workers	2000	1					
Cambodia	labor wage dispute	garment workers	2014	2					
Cambodia	labor wage dispute	protesters	2014	1					
Cambodia	labor wage dispute	Unions	2012	1					
Cambodia	labor wage dispute	workers	2015	6					
Cambodia	land farm issue	farmers	2006	6					
Cambodia	land farm issue	Land rights protesters	2016	1					
Cambodia	land farm issue	Peasants	2012	1					
Cambodia	land farm issue	poor villagers	2000	1					
Cambodia	police brutality	supporters of murdered union leader	2004	1					
Cambodia	police brutality	Unions	2013	1					
Cambodia	"political behavior, process"	demonstrators	2015	1					
Cambodia	"political behavior, process"	"farmers, monks, land-rights activists, unionists, tuk-tuk drivers, students, NGO staff"	2015	1					
Cambodia	"political behavior, process"	including Buddhist nuns and Cambodian Muslims	2007	1					
Cambodia	"political behavior, process"	Khmer nation party	1997	1					
Cambodia	"political behavior, process"	monks and nuns and foreigners	1994	17					
Cambodia	"political behavior, process"	opposition Cambodia National Rescue Party (CNRP)	2013	5					
Cambodia	"political behavior, process"	opposition supporters	2000	1					
Cambodia	"political behavior, process"	political activists	2003	1					
Cambodia	"political behavior, process"	political opposition	1998	28					
Cambodia	"political behavior, process"	poor people	2006	1					
Cambodia	"political behavior, process"	protesters	2012	1					
Cambodia	"political behavior, process"	protesters	2014	4					
Cambodia	"political behavior, process"	Protesters against a restrictive law affecting the garment industry	2016	1					
Cambodia	"political behavior, process"	students	1991	1					
Cambodia	"political behavior, process"	Supporters of the Opposition Cambodia National Rescue Party (CNRP)	2016	1					
Cambodia	"political behavior, process"	village residents	1998	2					
Cambodia	"price increases, tax policy"	garment workers	2003	6					
Cambodia	"price increases, tax policy"	protesters	2015	1					
Cambodia	removal of politician	"Buddhist monks, garment workers, farmers and supporters of the main opposition party"	2013	1					
Cambodia	removal of politician	pro-Cambodian People's Party (CPP) protesters	2015	1					
Cambodia	removal of politician	protesters	2014	1					
Cambodia	removal of politician	students	1991	1					
Cambodia	removal of politician	"students, workers"	1991	6					
Cameroon	labor wage dispute	CSP union	2007	1					
Cameroon	labor wage dispute	former employees of Cameroon	2011	1					
Cameroon	labor wage dispute	Public Sector Union Confederation	2010	1					
Cameroon	police brutality	demonstrators	1991	1					
Cameroon	police brutality	demonstrators	2003	1					
Cameroon	police brutality	Kumba locals	2007	1					
Cameroon	"political behavior, process"	anti-government demonstrators	1992	1					
Cameroon	"political behavior, process"	anti-government protests	1991	1					
Cameroon	"political behavior, process"	Anti-government rioters	1991	1					
Cameroon	"political behavior, process"	Bamenda residents	1990	1					
Cameroon	"political behavior, process"	community members	2016	1					
Cameroon	"political behavior, process"	demonstrators	1991	3					
Cameroon	"political behavior, process"	demonstrators	1994	1					
Cameroon	"political behavior, process"	demonstrators	2008	2					
Cameroon	"political behavior, process"	English-speaking minority	2016	3					
Cameroon	"political behavior, process"	journalists	1991	1					
Cameroon	"political behavior, process"	journalists	2010	1					
Cameroon	"political behavior, process"	lawyers	2016	2					
Cameroon	"political behavior, process"	l'union pour le changement/union for change (upc)	1993	1					
Cameroon	"political behavior, process"	opposition	2016	1					
Cameroon	"political behavior, process"	prisoners	2010	2					
Cameroon	"political behavior, process"	protesters	1991	1					
Cameroon	"political behavior, process"	Social Democratic Front	1994	1					
Cameroon	"political behavior, process"	Social Democratic Front	1996	1					
Cameroon	"political behavior, process"	Social Democratic Front	2004	5					
Cameroon	"political behavior, process"	Social Democratic Front and the National Union for Democracy and Progress	1991	1					
Cameroon	"political behavior, process"	Southern Cameroon National Council	2000	2					
Cameroon	"political behavior, process"	Southern Cameroon National Council	2001	1					
Cameroon	"political behavior, process"	Southern Cameroon National Council	2011	1					
Cameroon	"political behavior, process"	students	1991	2					
Cameroon	"political behavior, process"	students	1994	1					
Cameroon	"political behavior, process"	students	2005	1					
Cameroon	"political behavior, process"	students and unemployed workers	1991	1					
Cameroon	"political behavior, process"	supporters of Fru Ndi	1992	1					
Cameroon	"political behavior, process"	union for change (upc)	1993	1					
Cameroon	"political behavior, process"	university students	2000	1					
Cameroon	"political behavior, process"	Yaounde university students	1990	1					
Cameroon	"price increases, tax policy"	demonstrators	2008	3					
Cameroon	"price increases, tax policy"	students	2005	1					
Cameroon	removal of politician	protesters	1991	1					
Cameroon	social restrictions	parents of anglophone school children	1993	1					
Canada	labor wage dispute	Canadian Union of Postal Workers	1997	16					
Canada	labor wage dispute	Canadian Union of Public Employees	2016	1					
Canada	labor wage dispute	Public Service Alliance of Canada	1991	13					
Canada	labor wage dispute	Taxi drivers against Uber	2016	2					
Canada	land farm issue	Chippewa Indians	1995	1					
Canada	land farm issue	Mohawk Indians	1990	57					
Canada	police brutality	Black Lives Matter	2016	17					
Canada	police brutality	gangs of black and white youths	1992	2					
Canada	police brutality	Mohawk Indians	1990	1					
Canada	police brutality	Mohawk Indians	2006	178					
Canada	"political behavior, process"	(separatist) Parti Quebecois	1990	1					
Canada	"political behavior, process"	aboriginal activists	2016	1					
Canada	"political behavior, process"	Anti-poverty protesters	2000	1					
Canada	"political behavior, process"	college students	2005	32					
Canada	"political behavior, process"	Concerned Ontario Doctors	2016	1					
Canada	"political behavior, process"	crab fishermen	2003	1					
Canada	"political behavior, process"	environmental activitists	1993	62					
Canada	"political behavior, process"	french-speaking youths	2000	2					
Canada	"political behavior, process"	gun owners and supporters	1994	1					
Canada	"political behavior, process"	indigenous residents	2016	30					
Canada	"political behavior, process"	local residents	1990	2					
Canada	"political behavior, process"	Native groups/ Mohawk Indians	2007	1					
Canada	"political behavior, process"	Ontario Autism Coalition	2016	1					
Canada	"political behavior, process"	Ontario Teachers' Federation	1997	13					
Canada	"political behavior, process"	protesters	2015	1					
Canada	"political behavior, process"	Quebec separatists	2009	1					
Canada	"political behavior, process"	Quebec separatists	2011	1					
Canada	"political behavior, process"	Tamil-Canadians	2009	1					
Canada	"political behavior, process"	women	2016	1					
Canada	"price increases, tax policy"	labor unions	1996	1					
Canada	"price increases, tax policy"	students	1994	1					
Canada	"price increases, tax policy"	university students	2012	118					
Cape Verde	"political behavior, process"	immigrants	2005	1					
Cape Verde	"political behavior, process"	Movement for Democracy (MPD)	2005	1					
Central African Republic	labor wage dispute	Base Karako	2000	2					
Central African Republic	labor wage dispute	civil servants	1996	1					
Central African Republic	labor wage dispute	civil servants	2005	1					
Central African Republic	labor wage dispute	"civil servants, youth, students"	2000	1					
Central African Republic	labor wage dispute	demonstrators	2004	1					
Central African Republic	labor wage dispute	ex-rebel soldiers	2004	1					
Central African Republic	labor wage dispute	members of parliament	2002	1					
Central African Republic	labor wage dispute	office workers & aides to lawmakers	2004	1					
Central African Republic	labor wage dispute	secondary school students	2006	1					
Central African Republic	labor wage dispute	Soldiers	1993	1					
Central African Republic	labor wage dispute	Soldiers	1996	12					
Central African Republic	labor wage dispute	soldiers	2006	1					
Central African Republic	labor wage dispute	students	2002	1					
Central African Republic	labor wage dispute	students	2003	1					
Central African Republic	labor wage dispute	students	2008	1					
Central African Republic	labor wage dispute	Teachers	1996	1					
Central African Republic	labor wage dispute	Troops of the presidential guard	1993	1					
Central African Republic	labor wage dispute	university students	2004	1					
Central African Republic	labor wage dispute	vendors	2007	1					
Central African Republic	labor wage dispute	women	2000	1					
Central African Republic	police brutality	Bangui residents	2007	1					
Central African Republic	police brutality	Chadians	2004	1					
Central African Republic	police brutality	demonstrators	2006	1					
Central African Republic	police brutality	demonstrators	2009	2					
Central African Republic	police brutality	demonstrators	2010	1					
Central African Republic	police brutality	judges and lawyers	2013	1					
Central African Republic	"political behavior, process"	Christians	2013	1					
Central African Republic	"political behavior, process"	civilians	2002	3					
Central African Republic	"political behavior, process"	civilians	2013	1					
Central African Republic	"political behavior, process"	Flambeau centrafricain' (Central African Torch) [youth group]; banned political groups; civil servants	2000	1					
Central African Republic	"political behavior, process"	High School Students 	1996	1					
Central African Republic	"political behavior, process"	locals	2012	1					
Central African Republic	"political behavior, process"	locals	2013	1					
Central African Republic	"political behavior, process"	Movement for Social Evolution in Black Africa	1991	1					
Central African Republic	"political behavior, process"	opposition supporters	2005	1					
Central African Republic	"political behavior, process"	People	1990	1					
Central African Republic	"political behavior, process"	People	1992	1					
Central African Republic	"political behavior, process"	People	1996	1					
Central African Republic	"political behavior, process"	pro-democracy demonstrators	1992	1					
Central African Republic	"political behavior, process"	protesters	2015	1					
Central African Republic	"political behavior, process"	protestors	1999	1					
Central African Republic	"political behavior, process"	protestors	2006	1					
